SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
17h00m01.49s -24d59m30.77s,0.3176,2.199,Solenoidal Metric Schema (Iron),85.14,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m59.25s -25d00m04.64s,0.3585,3.3235,Helical Metric Schema,76.55,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m59.86s -25d00m21.22s,0.4278,195.3776,Trefoil Metric Schema,60.64,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m58.36s -24d59m60.00s,0.4499,30.1473,Trefoil Metric Schema,89.12,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.90s -25d00m38.59s,0.4625,399.9356,Localized Torsional Inflection,54.06,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m59.89s -25d00m03.97s,0.3926,202.882,Trefoil Metric Schema,70.17,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m02.35s -24d59m38.32s,0.2011,66.6457,Minkowskian Baseline,74.28,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.25s -25d00m02.29s,0.2242,176.1742,Gasious Substrate Schema,58.86,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.04s -24d59m32.44s,0.9571,14.8496,Baryonic Metric Substrate,81.51,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
16h59m58.63s -24d59m32.88s,0.2323,140.5278,Gasious Substrate Schema,79.1,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.59s -24d59m51.43s,0.3528,124.6704,Helical Metric Schema,91.76,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m59.33s -24d59m47.16s,0.5183,39.4937,Metric Spacetime Anomaly,87.28,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.10s -24d59m33.83s,0.3418,85.2456,Helical Metric Schema,91.02,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m58.88s -24d59m51.67s,0.2032,16.666,Minkowskian Baseline,88.6,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.21s -24d59m55.12s,0.6052,18.0727,Metric Spacetime Anomaly,65.09,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.23s -24d59m52.17s,0.2474,4.2557,Gasious Substrate Schema,75.37,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.98s -25d00m04.70s,0.2663,118.9232,Gasious Substrate Schema,59.22,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.11s -24d59m37.14s,0.2834,133.3289,Solenoidal Metric Schema (Iron),86.02,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m59.24s -24d59m33.77s,0.2463,174.0172,Gasious Substrate Schema,84.09,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.22s -24d59m58.23s,0.1614,422.4435,Minkowskian Baseline,62.42,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.20s -24d59m44.73s,0.1521,142.1209,Minkowskian Baseline,74.13,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.79s -25d00m20.62s,0.7368,1.7786,Metric Spacetime Anomaly,39.99,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m58.32s -24d59m52.09s,0.198,43.9316,Minkowskian Baseline,94.21,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.44s -25d00m21.02s,0.3725,79.2145,Trefoil Metric Schema,43.09,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.79s -25d00m16.82s,0.1808,442.5681,Minkowskian Baseline,52.53,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m57.86s -24d59m40.39s,0.2049,245.7092,Minkowskian Baseline,81.76,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.04s -25d00m15.24s,1.1123,60.5572,Baryonic Metric Substrate,51.01,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
16h59m59.78s -24d59m46.30s,0.3205,67.7895,Localized Torsional Inflection,83.8,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m01.65s -25d00m18.75s,0.3794,1.9968,Trefoil Metric Schema,42.66,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.41s -24d59m45.61s,0.2157,18.917,Minkowskian Baseline,79.07,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m02.28s -25d00m27.12s,0.7096,26.4824,Metric Spacetime Anomaly,30.7,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.12s -25d00m29.19s,0.2785,112.8979,Gasious Substrate Schema,66.77,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.10s -24d59m33.10s,0.188,22.664,Minkowskian Baseline,82.5,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.17s -25d00m19.21s,0.2102,77.6086,Minkowskian Baseline,47.04,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.89s -25d00m23.63s,0.3912,258.3522,Trefoil Metric Schema,71.6,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.88s -24d59m45.13s,0.2173,3.7011,Minkowskian Baseline,75.94,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.66s -25d00m04.72s,0.2815,63.7779,Solenoidal Metric Schema (Iron),53.71,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m59.47s -24d59m49.54s,0.2821,32.2709,Solenoidal Metric Schema (Iron),84.25,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m59.59s -24d59m47.73s,0.7884,188.4426,Metric Spacetime Anomaly,84.44,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m02.03s -25d00m19.45s,0.2798,46.3835,Gasious Substrate Schema,38.77,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.15s -24d59m45.35s,0.2333,71.6064,Gasious Substrate Schema,81.38,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.41s -25d00m23.38s,0.2374,111.583,Gasious Substrate Schema,65.18,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.80s -24d59m32.15s,0.4706,56.8968,Metric Spacetime Anomaly,87.79,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.05s -25d00m05.98s,0.214,9.6876,Minkowskian Baseline,57.63,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.70s -25d00m32.33s,0.6282,13.4436,Metric Spacetime Anomaly,45.53,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.48s -25d00m06.59s,0.4449,46.5198,Trefoil Metric Schema,53.54,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.68s -24d59m51.82s,0.2594,246.8014,Localized Torsional Inflection,71.88,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m59.25s -25d00m14.32s,0.218,76.0369,Minkowskian Baseline,71.25,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.74s -24d59m42.83s,0.2437,62.3885,Gasious Substrate Schema,88.63,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.26s -25d00m16.23s,0.5778,130.1065,Metric Spacetime Anomaly,70.19,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.29s -24d59m31.49s,0.2215,0.1628,Gasious Substrate Schema,82.56,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.00s -25d00m03.85s,0.221,39.0945,Gasious Substrate Schema,69.13,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.59s -25d00m19.08s,0.2191,171.8039,Minkowskian Baseline,53.33,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m02.60s -24d59m53.39s,0.3257,114.2002,Localized Torsional Inflection,58.85,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m58.28s -24d59m40.17s,0.3095,87.4388,Solenoidal Metric Schema (Iron),83.61,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m58.56s -24d59m59.68s,0.323,90.5702,Helical Metric Schema,87.06,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m00.28s -25d00m03.62s,0.2562,36.4867,Gasious Substrate Schema,66.5,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.02s -25d00m17.48s,1.5334,32.9796,Metric Spacetime Anomaly,84.87,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.44s -25d00m22.47s,0.5559,9.1015,Metric Spacetime Anomaly,65.19,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m58.16s -25d00m05.29s,0.942,72.0623,Baryonic Metric Substrate,88.6,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
16h59m59.39s -24d59m22.53s,0.1732,104.8032,Minkowskian Baseline,76.17,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.04s -25d00m13.29s,0.2128,40.746,Minkowskian Baseline,86.32,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.03s -24d59m44.64s,0.3554,40.831,Helical Metric Schema,91.93,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m57.09s -24d59m56.56s,0.1912,139.7314,Minkowskian Baseline,94.8,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.26s -24d59m30.28s,1.1282,23.1251,Baryonic Metric Substrate,86.79,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
16h59m59.54s -24d59m52.07s,0.2415,49.732,Gasious Substrate Schema,81.78,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.87s -25d00m32.31s,0.3586,237.5317,Helical Metric Schema,56.11,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m59.04s -25d00m15.55s,0.2456,60.2016,Gasious Substrate Schema,73.15,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.57s -24d59m55.94s,0.1606,50.6966,Minkowskian Baseline,69.52,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m02.65s -25d00m05.38s,0.3324,121.0355,Helical Metric Schema,47.2,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m59.66s -25d00m03.60s,0.2258,159.9127,Gasious Substrate Schema,72.8,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.69s -24d59m50.62s,0.2065,54.7301,Minkowskian Baseline,65.85,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.80s -25d00m19.07s,0.447,103.6573,Trefoil Metric Schema,41.05,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.40s -24d59m52.10s,0.242,9.6897,Gasious Substrate Schema,83.11,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.97s -25d00m35.65s,0.1948,67.2091,Minkowskian Baseline,40.89,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.77s -25d00m00.65s,0.3817,41.0414,Trefoil Metric Schema,84.18,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.81s -24d59m36.51s,0.2559,27.585,Gasious Substrate Schema,90.74,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.31s -24d59m59.20s,0.2428,6.5742,Gasious Substrate Schema,90.13,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.90s -24d59m24.09s,0.372,9.8714,Trefoil Metric Schema,81.85,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m01.79s -24d59m44.93s,0.8122,173.988,Baryonic Metric Substrate,70.49,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
17h00m00.26s -24d59m57.35s,0.4383,181.9915,Trefoil Metric Schema,71.2,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m01.84s -24d59m38.47s,0.3515,240.0647,Helical Metric Schema,76.25,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m58.15s -25d00m16.84s,0.4671,225.8015,Localized Torsional Inflection,83.49,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m59.04s -24d59m38.22s,0.2323,35.22,Gasious Substrate Schema,86.47,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.76s -25d00m03.33s,0.662,63.6208,Localized Torsional Inflection,54.18,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m59.39s -25d00m06.86s,0.1889,291.9344,Minkowskian Baseline,73.71,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.89s -24d59m44.95s,0.1791,181.4794,Minkowskian Baseline,76.03,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.90s -25d00m13.72s,0.3092,11.2646,Solenoidal Metric Schema (Iron),53.44,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m02.53s -24d59m54.65s,0.3771,41.7937,Trefoil Metric Schema,57.91,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.49s -25d00m22.79s,0.3184,78.4384,Solenoidal Metric Schema (Iron),64.44,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m02.05s -24d59m40.06s,0.2576,42.7711,Gasious Substrate Schema,73.8,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.03s -25d00m18.24s,0.445,64.2146,Trefoil Metric Schema,84.46,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.37s -25d00m09.61s,1.3826,6.9767,Metric Spacetime Anomaly,72.36,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m02.69s -25d00m11.47s,0.3507,99.0016,Helical Metric Schema,41.3,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m01.71s -25d00m26.54s,0.5241,73.8392,Metric Spacetime Anomaly,36.7,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.14s -24d59m40.70s,0.2437,230.1058,Gasious Substrate Schema,78.07,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m02.70s -25d00m02.14s,0.2259,6.7993,Gasious Substrate Schema,50.07,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m02.04s -24d59m40.37s,0.3747,137.5566,Trefoil Metric Schema,73.55,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m01.19s -25d00m05.47s,0.3283,223.9528,Localized Torsional Inflection,56.81,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m00.89s -24d59m53.10s,0.8876,29.4079,Baryonic Metric Substrate,69.19,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
17h00m00.37s -24d59m58.16s,0.3322,21.6228,Helical Metric Schema,69.59,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m00.51s -25d00m28.88s,0.2513,92.8158,Gasious Substrate Schema,49.3,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.34s -25d00m16.94s,0.3924,11.6326,Trefoil Metric Schema,68.9,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m58.93s -25d00m05.65s,1.3454,25.4041,Metric Spacetime Anomaly,79.53,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.31s -24d59m33.09s,0.2639,33.0054,Gasious Substrate Schema,84.04,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.97s -24d59m30.93s,0.275,72.5315,Gasious Substrate Schema,87.84,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.21s -24d59m55.17s,1.8079,34.2575,Metric Spacetime Anomaly,93.56,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.47s -25d00m13.19s,0.2921,479.2213,Solenoidal Metric Schema (Iron),58.2,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.73s -25d00m00.61s,0.3208,62.3272,Helical Metric Schema,64.54,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m00.34s -24d59m35.97s,0.4797,14.6068,Metric Spacetime Anomaly,87.6,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m58.98s -24d59m44.97s,0.1988,293.6801,Minkowskian Baseline,92.01,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m02.06s -24d59m40.98s,0.2232,49.2646,Gasious Substrate Schema,72.89,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.47s -24d59m59.69s,0.2695,75.9066,Gasious Substrate Schema,77.29,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.51s -24d59m25.84s,0.2674,94.7084,Gasious Substrate Schema,88.84,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.59s -25d00m27.90s,0.289,15.5145,Solenoidal Metric Schema (Iron),37.15,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.20s -24d59m35.68s,0.2546,10.7423,Gasious Substrate Schema,88.87,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m02.58s -24d59m58.90s,0.6316,95.7345,Metric Spacetime Anomaly,53.65,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.50s -25d00m00.01s,0.582,87.7815,Metric Spacetime Anomaly,58.85,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.17s -24d59m35.69s,0.2008,180.5763,Minkowskian Baseline,82.37,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.65s -25d00m11.86s,0.4443,345.9023,Trefoil Metric Schema,47.93,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.09s -24d59m49.62s,0.3085,1.0829,Solenoidal Metric Schema (Iron),78.55,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.33s -24d59m45.32s,0.2631,1.3862,Gasious Substrate Schema,79.94,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m57.91s -24d59m55.64s,0.4286,17.6749,Trefoil Metric Schema,96.48,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.56s -25d00m10.25s,0.2716,21.6286,Gasious Substrate Schema,59.19,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.64s -25d00m14.70s,0.3834,217.0408,Trefoil Metric Schema,55.45,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.03s -24d59m49.84s,0.1954,118.4475,Minkowskian Baseline,88.31,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.31s -25d00m28.83s,0.3045,102.9459,Solenoidal Metric Schema (Iron),39.77,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m02.75s -25d00m07.16s,0.1712,17.4268,Minkowskian Baseline,45.08,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.89s -25d00m25.69s,0.2,85.0605,Minkowskian Baseline,46.27,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.90s -25d00m04.27s,0.4153,41.4951,Trefoil Metric Schema,69.87,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m03.08s -24d59m56.45s,0.5219,90.4136,Metric Spacetime Anomaly,54.39,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.19s -24d59m41.86s,0.4842,168.1337,Localized Torsional Inflection,90.64,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
